"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Sphkap",0,-1.269640025998,0.261,0.745,0
"Cacnb2",0,-1.19370758007868,0.412,0.84,0
"Nebl",0,-1.11550570446363,0.719,0.956,0
"Snhg11",0,-1.29588312361171,0.989,0.995,0
"Sms",0,-1.18820484719658,0.6,0.924,0
"Trim2",0,-1.11851500867674,0.611,0.933,0
"Asph",0,-1.37687943601603,0.677,0.931,0
"Epha5",0,0.820945804661653,0.999,0.975,0
"Akap13",0,-2.79282649729883,0.28,0.924,0
"Socs2",0,-1.22984970396569,0.191,0.703,0
"Cpne7",0,-2.78641141656867,0.189,0.901,0
"Cpne6",0,-1.92798738272289,0.302,0.882,0
"Opcml",0,-1.57270903089074,0.557,0.923,0
"Adcy1",0,1.20537205607408,0.963,0.822,0
"Rpl26",0,-1.30291418132932,0.27,0.758,0
"Igfbp4",0,2.13898757641616,0.67,0.094,0
"Brd9",0,-0.981633838055124,0.879,0.974,0
"Mef2c",0,1.67400171958002,0.642,0.183,0
"Ddx17",0,0.879254900821647,0.978,0.93,0
"Kalrn",0,0.621207668178229,0.996,0.974,0
"Cadm2",0,1.42340570638306,0.953,0.798,0
"Trpm3",0,1.5652826296552,0.78,0.352,0
"Spaar",3.60560418072591e-304,1.42455776317348,0.41,0.02,5.32042952907916e-300
"Elavl2",2.30299172635473e-301,-1.1393007467395,0.371,0.843,3.39829459140904e-297
"Grik4",2.36704965541909e-297,-1.19113535283442,0.164,0.648,3.49281847153641e-293
"Celf2",1.84910374932128e-290,0.619222016601472,0.995,0.978,2.72853749249848e-286
"Notch2",1.06970211678587e-289,1.54921207803226,0.473,0.071,1.57845244352922e-285
"Tenm2",3.6783762792853e-282,-1.20213235173424,0.027,0.427,5.42781203771338e-278
"Rnf182",9.31802782625073e-281,-1.29039415317707,0.365,0.785,1.37496818604156e-276
"Gpi1",6.16813285902662e-280,-1.10143382575782,0.568,0.887,9.10169684677968e-276
"Dock4",1.126084110851e-277,-0.725395133956555,0.905,0.968,1.66164971397174e-273
"Cald1",2.35520625842213e-275,1.45616928774772,0.503,0.096,3.47534235492769e-271
"Nos1ap",3.99460102990768e-272,-0.94557270891846,0.712,0.934,5.89443327973178e-268
"Echdc2",1.45760820240548e-266,-1.24093693668132,0.244,0.691,2.15084666346953e-262
"Gm2115",2.48918862649853e-264,-1.15017924886084,0.074,0.49,3.67304673726122e-260
"Tafa1",4.42791866236367e-260,-0.768431494280808,0.949,0.961,6.53383677818383e-256
"Col4a2",2.12903626082286e-259,-1.18771838283374,0.332,0.743,3.14160590647021e-255
"Peak1",3.71597309731789e-255,-1.18614231326545,0.088,0.497,5.48328990240228e-251
"Adgrl2",3.79120772233494e-255,1.36919248620914,0.358,0.017,5.59430611507744e-251
"Col11a1",1.7335527695472e-253,-1.33065611764866,0.267,0.703,2.55803046674384e-249
"Slc4a3",3.54870135094883e-248,-1.00738828245606,0.457,0.834,5.2364637134601e-244
"Grin2a",9.67068222098354e-245,-0.646264096648639,0.945,0.973,1.42700586852833e-240
"Samd5",3.51521528582542e-243,-1.08616200759418,0.125,0.543,5.18705167576398e-239
"Chka",1.35558318391756e-239,-0.747464021324007,0.878,0.965,2.00029854618876e-235
"Arhgap6",7.87357192672652e-238,1.35822205183928,0.312,0.005,1.16182427350777e-233
"Fat3",9.35656771250545e-236,1.03194587780061,0.853,0.702,1.3806551316573e-231
"Cacna1d",1.57501617821179e-234,-0.817798183210985,0.755,0.935,2.32409387256932e-230
"Zfp536",1.39190916320062e-227,1.06070554889829,0.328,0.014,2.05390116121884e-223
"Efr3b",5.13655185666973e-227,-1.02507245541651,0.344,0.736,7.57949591970185e-223
"Plcb1",1.06726215804833e-225,-0.951635460335764,0.471,0.836,1.57485204041612e-221
"R3hdm1",1.43541779094203e-220,0.542564685506683,0.992,0.981,2.11810249231406e-216
"Ube3a",1.32836741933018e-218,-0.576492405716993,0.975,0.981,1.96013896396362e-214
"Dclk1",2.17094349158163e-218,0.725219691000785,0.977,0.939,3.20344421617785e-214
"Ints6l",1.46234569403729e-217,1.0448875217579,0.78,0.56,2.15783730612143e-213
"Onecut2",1.23881057187041e-216,-1.00852721693452,0.269,0.687,1.82798887985198e-212
"Atp6v0b",7.80813846245725e-209,-0.494737479122466,0.986,0.991,1.15216891152019e-204
"Ccnd2",1.52526046482125e-207,-1.33454539158934,0.195,0.583,2.25067434189024e-203
"Camkv",5.3735099193087e-207,-0.757162070831249,0.774,0.937,7.92915123693191e-203
"Auts2",1.04517063622374e-206,-0.501274413642146,0.985,0.988,1.54225379081176e-202
"Syn2",6.99552516082329e-205,-0.96610312218955,0.364,0.743,1.03225969273108e-200
"Vxn",3.62492764112123e-204,-0.99359695929951,0.088,0.448,5.34894322723849e-200
"Unc80",1.46648255583984e-203,0.679372673089391,0.958,0.923,2.16394165939727e-199
"Ttr",1.97151575843141e-203,-1.48029155317107,0.039,0.367,2.90916865314138e-199
"Cpne8",1.579249743713e-200,-0.878667624708398,0.014,0.31,2.33034092182291e-196
"Igsf3",2.77803273328626e-200,1.12095532270163,0.358,0.049,4.0992651012372e-196
"Prdx6",2.06924018538016e-196,-0.993006350131949,0.274,0.668,3.05337081754696e-192
"Map3k15",6.57194196685845e-196,1.22784887536155,0.478,0.154,9.69755756629634e-192
"2010300C02Rik",1.52087112379549e-191,0.850959937808986,0.863,0.748,2.24419743027263e-187
"Pfkl",1.2306009175551e-189,-0.89584003889246,0.218,0.605,1.81587471394431e-185
"Pkp2",5.85141591133225e-188,-0.885337463711852,0.365,0.737,8.63434931876187e-184
"Igf1r",6.29769303502121e-188,-0.945799585961809,0.39,0.755,9.2928758424773e-184
"Kcna1",2.20499270275174e-187,-0.85244192861464,0.552,0.857,3.25368723218047e-183
"Scn1a",3.40326037736158e-187,-0.845624175759788,0.436,0.801,5.02185101283474e-183
"Sema6d",6.14314256932636e-187,0.98680818117739,0.312,0.031,9.06482117529798e-183
"Syne1",1.00447740625357e-185,0.997077534816363,0.766,0.556,1.48220686066777e-181
"Entpd6",1.31411372643218e-185,-0.934321098679181,0.349,0.71,1.93910621472332e-181
"Traip",3.26603166201801e-184,-0.932423639268637,0.162,0.529,4.81935632047378e-180
"Atp8a1",7.52913767383826e-183,0.845320486335243,0.841,0.706,1.11099955515157e-178
"Nmrk1",8.43065573053435e-183,-0.922787234312678,0.186,0.559,1.24402755959765e-178
"Cacna1e",2.08667673390778e-181,0.719091322282515,0.913,0.844,3.07910018855433e-177
"Ptn",4.83107546864854e-181,1.02908880457612,0.615,0.318,7.12873496153778e-177
"Cul4a",3.77268278724899e-180,-0.901129318548373,0.169,0.536,5.56697072086461e-176
"Rph3a",2.56735116327054e-179,1.00057287493367,0.342,0.053,3.78838337652201e-175
"5031439G07Rik",2.5832711261063e-178,-0.912132395568118,0.123,0.472,3.81187487368246e-174
"Scube1",4.48776254458732e-177,-0.898320128255604,0.013,0.28,6.62214241079305e-173
"Sash1",5.75177584684667e-177,1.13290457070658,0.627,0.348,8.48732043960695e-173
"Trpc5",1.39607335348807e-173,-0.882105004057713,0.292,0.665,2.060045840407e-169
"Parp8",1.41176011140288e-172,-0.807425965971498,0.011,0.27,2.08319322038609e-168
"Cntn3",1.16883706892358e-171,0.975505406334774,0.272,0.021,1.72473597890364e-167
"Osbpl3",2.44831383491681e-170,-0.912331602216831,0.098,0.423,3.61273189480324e-166
"Ntm",4.4094560364583e-170,-1.12316897183384,0.062,0.365,6.50659332739787e-166
"Tmem108",3.25364932360191e-169,-0.835562517241118,0.591,0.869,4.80108494190697e-165
"Timp4",2.01237079108362e-168,-0.886359271184178,0.2,0.566,2.96945433932298e-164
"Atp2a2",4.77012644592304e-167,0.732423073885086,0.889,0.819,7.03879858360403e-163
"Dpyd",1.63534695852837e-166,-0.851872338973505,0.121,0.453,2.41311797200446e-162
"Nrxn3",7.90666038066345e-166,-0.491218593102078,0.971,0.969,1.1667068057707e-161
"Gria2",6.40744184948635e-164,-0.254144763174423,0.999,0.99,9.45482119310206e-160
"Dync1i2",1.915780143965e-163,-0.693899595573042,0.759,0.919,2.82692518043475e-159
"Nrgn",2.13623471568919e-161,-0.836347993124233,0.394,0.75,3.15222794647097e-157
"Fgfr1",1.84347754470176e-159,-0.802213406346898,0.466,0.782,2.72023546496192e-155
"Syn3",2.45588673306877e-159,0.911315189000132,0.277,0.03,3.62390646331628e-155
"Il1rap",7.48630742633726e-159,1.03856819304679,0.621,0.367,1.10467952383033e-154
"Rnf165",8.75135715691334e-159,-0.715108785454099,0.649,0.888,1.29135026207413e-154
"Slc24a2",8.77671415784036e-159,0.603706482066974,0.941,0.913,1.29509194113092e-154
"Grb14",5.04838488792092e-156,-0.813355839541036,0.275,0.634,7.44939674061611e-152
"Wipf3",2.55591039562243e-155,0.574354262973459,0.969,0.933,3.77150137978046e-151
"Sox5",5.64257386901554e-154,-0.818019980807794,0.405,0.744,8.32618200111934e-150
"Arhgef26",8.39545829720361e-154,-0.735490008296345,0.6,0.857,1.23883382633536e-149
"Ly6e",2.42608923985336e-151,-0.743264865453211,0.542,0.831,3.57993728232761e-147
"Rapgef4",1.81815594544135e-147,0.798604297541493,0.806,0.657,2.68287091309325e-143
"Pabpn1",6.59020675953846e-144,-0.633338727600923,0.705,0.922,9.72450909437495e-140
"Gria1",1.2340187903452e-141,0.50846961011063,0.972,0.956,1.82091812703338e-137
"Rasl11b",9.76141951503851e-141,-0.779907786701663,0.223,0.563,1.44039506363908e-136
"Stard5",1.90248205480701e-140,-0.816195669681398,0.314,0.65,2.80730252007322e-136
"Trank1",4.68334341482182e-140,0.793455399537262,0.795,0.66,6.91074154291108e-136
"Mtdh",2.76064102043394e-139,0.73470064810675,0.838,0.736,4.07360188975232e-135
"Gabra2",9.3336283681117e-139,-0.729691562732641,0.466,0.782,1.37727020199856e-134
"Dapk1",1.40954161487312e-137,0.759207473179343,0.802,0.66,2.07991960690678e-133
"Hnrnpu",4.40071570614513e-136,0.59701838055753,0.915,0.887,6.49369609598776e-132
"Tenm4",7.66566480375378e-136,-0.749361805837655,0.109,0.403,1.13114549844191e-131
"Dpp6",1.02192146428238e-135,0.627144121078955,0.906,0.84,1.50794731269509e-131
"Mas1",1.88328651784925e-134,-0.745786529976178,0.159,0.469,2.77897758573835e-130
"Col4a1",3.32948040244208e-133,-0.785481468899568,0.343,0.66,4.91298128184354e-129
"Rb1",5.85075717616231e-133,0.995008969808265,0.516,0.272,8.6333772891451e-129
"Nrp1",2.13813154964403e-132,-0.613129199791597,0.731,0.899,3.15502691465473e-128
"Zbtb20",2.249121002451e-132,0.320142811866322,0.999,0.99,3.31880295121669e-128
"Snrnp70",2.90555780870796e-132,-0.356265834745407,0.984,0.992,4.28744110252947e-128
"Nr2f1",3.14778029298204e-132,-0.683406149995125,0.03,0.259,4.6448646003243e-128
"Slc6a7",1.30007911618119e-131,-0.702986850774827,0.105,0.391,1.91839674383697e-127
"Dgkh",5.39076496237766e-129,0.862872270456211,0.641,0.417,7.95461277848447e-125
"Mast4",1.57842598101173e-128,-0.701469436139001,0.578,0.842,2.32912537758091e-124
"Robo2",1.75960192237494e-127,-0.703852151097258,0.143,0.437,2.59646859665646e-123
"Tacc1",2.28215920295561e-127,0.753609240894174,0.807,0.656,3.3675541198813e-123
"Kcnk2",3.66000454269263e-127,0.66676801302693,0.935,0.804,5.40070270319724e-123
"Slc24a5",4.203822880488e-127,0.809719811877698,0.847,0.769,6.2031610424481e-123
"Cdh10",1.0493199177591e-126,-0.774311395660652,0.101,0.375,1.54837647064533e-122
"Tigd2",1.29385738899914e-126,-0.714698170259261,0.361,0.685,1.90921596320713e-122
"Ndst1",2.48281304980192e-126,0.898229182650321,0.798,0.676,3.66363893628772e-122
"Dmd",7.52288448239707e-126,-0.694653560436764,0.455,0.76,1.11007683422251e-121
"Tspan33",1.17637244403425e-125,-0.706614601364107,0.062,0.31,1.73585517841695e-121
"Rock2",4.47723186109786e-125,0.685006788095119,0.845,0.774,6.606603334236e-121
"Bin1",9.2328089378659e-125,-0.702150330321442,0.441,0.745,1.36239328687149e-120
"Kcnn2",1.53479049827362e-124,0.753209913031713,0.786,0.661,2.26473685925255e-120
"Map1b",2.45121448042901e-123,0.433364615975309,0.992,0.979,3.61701208732105e-119
"Homer3",2.67910719258049e-123,-0.699236321717719,0.107,0.379,3.95329057337177e-119
"Gapdh",1.63176647697427e-122,-0.746112592753054,0.335,0.657,2.40783461342323e-118
"Srsf7",2.32988810562795e-121,-0.513064376237452,0.832,0.955,3.4379828886646e-117
"Fez2",2.67758384300804e-120,-0.688775588598704,0.063,0.304,3.95104271874267e-116
"Aldoa",2.70608294922468e-120,-0.679271778947201,0.389,0.714,3.99309599987593e-116
"Palmd",1.16221803669767e-118,-0.705228818640444,0.119,0.388,1.71496893495108e-114
"Rbfox1",7.26505872135986e-118,-0.64804911125058,0.426,0.736,1.07203206492386e-113
"Gins2",2.80694182338284e-117,-0.761724046657779,0.206,0.502,4.14192335458372e-113
"Tcf12",1.52375391616086e-116,-0.691814059191049,0.325,0.638,2.24845127868696e-112
"Lrp1b",5.5663396098403e-116,-0.394120143903795,0.984,0.983,8.21369072828034e-112
"Rims1",5.77179137785038e-115,0.612749920321676,0.889,0.849,8.51685535715602e-111
"Tcf4",7.91406459532044e-114,0.344528246764941,0.996,0.985,1.16779937168548e-109
"Tmed9",1.98670736815363e-113,-0.639307184692687,0.48,0.776,2.93158539244749e-109
"Prkca",5.46610724242786e-113,0.515752711819163,0.965,0.928,8.06578784692655e-109
"Efhd2",7.99784360883227e-113,0.790062896387432,0.27,0.061,1.18016180291929e-108
"Kif5c",1.12914349100804e-112,0.714855923565294,0.827,0.748,1.66616413533146e-108
"Cnrip1",1.63285638421205e-112,-0.625362420404862,0.566,0.823,2.4094428805433e-108
"Sat1",1.49435241536444e-111,1.05083877349985,0.431,0.202,2.20506642411177e-107
"Dgkg",2.05651956327022e-111,-0.556267736412526,0.718,0.895,3.03460026756154e-107
"Alcam",8.36557904739211e-110,0.819541591377935,0.295,0.08,1.23442484423318e-105
"Plxnc1",2.12749695232882e-109,0.875333660715503,0.387,0.16,3.13933450285641e-105
"Tiam2",1.60219119333345e-108,0.872668397793128,0.463,0.228,2.36419332488284e-104
"Pebp1",1.74239056342389e-108,-0.612606604048663,0.563,0.835,2.57107151538829e-104
"Kcnk9",2.67220606870132e-108,-0.66730338755433,0.134,0.396,3.94310727497567e-104
"Hpca",5.78977114504444e-108,-0.530228730281012,0.745,0.919,8.54338630162757e-104
"Crybb3",6.62219322406619e-108,-0.680073299617862,0.077,0.31,9.77170832143207e-104
"Cpt1c",8.45495290801855e-108,-0.615669096477122,0.487,0.757,1.24761285110722e-103
"Lipe",1.51973168458665e-107,-0.624511531257326,0.106,0.359,2.24251607377606e-103
"Kcnma1",9.24551822280805e-106,0.572653111120968,0.901,0.866,1.36426866895756e-101
"Stmn2",2.93680732115342e-105,-0.673412103163413,0.329,0.629,4.33355288309399e-101
"Kcnj4",3.25021687837425e-105,0.842815857407713,0.316,0.102,4.79602002572905e-101
"Ywhah",4.19134147242534e-105,-0.656302851538707,0.392,0.682,6.18474347671083e-101
"Atpif1",8.77453720386426e-105,-0.645430952783132,0.404,0.704,1.29477070980221e-100
"Ryr2",8.96315355117006e-105,0.51950085516864,0.919,0.883,1.32260293801065e-100
"Xkr6",9.52736430659294e-105,-0.680072047635981,0.177,0.449,1.40585787708085e-100
"Cnksr2",6.23646346765922e-104,0.689210202813425,0.776,0.69,9.20252549287794e-100
"Nr3c2",1.06253885261965e-103,0.736258363633466,0.692,0.557,1.56788233092555e-99
"Caskin1",7.30956195626065e-103,-0.638767793844416,0.319,0.621,1.07859896226582e-98
"Zranb2",1.20801058253207e-102,-0.320102309067146,0.985,0.983,1.78254041558432e-98
"Htr1f",1.39400706336382e-102,-0.599916461483587,0.086,0.318,2.05699682269965e-98
"Luzp2",1.71961079434997e-102,-0.651262822481575,0.188,0.464,2.53745768814282e-98
"Inhba",1.73987689438098e-102,0.797991665559125,0.258,0.063,2.56736234534857e-98
"Nrxn2",1.04111366094572e-101,-0.592306339119797,0.587,0.827,1.53626731809151e-97
"Hnrnph1",1.33192789672308e-100,0.702137469536669,0.708,0.586,1.96539280440457e-96
"Dock11",4.33441961310846e-100,0.85146194697614,0.471,0.258,6.39586958110284e-96
"Selenow",5.51472753411659e-100,-0.62943944782833,0.366,0.673,8.13753194934243e-96
"Kif1b",2.34074360717457e-99,0.581570430109277,0.888,0.848,3.45400126674679e-95
"Stxbp5l",1.30419087953902e-98,-0.419730193563853,0.921,0.961,1.92446406184777e-94
"Cacna1a",2.92136381134939e-98,-0.403284980452863,0.927,0.963,4.31076444002716e-94
"Mrps5",4.14764235528403e-98,-0.565686562869409,0.528,0.796,6.12026105945711e-94
"Ppib",8.04614771199714e-98,-0.569846753346667,0.586,0.82,1.1872895563823e-93
"Ackr1",1.30358836426604e-97,-0.549249893103834,0.072,0.288,1.92357499031097e-93
"Unc13b",2.4604684368565e-97,-0.586115557663347,0.428,0.711,3.63066722542545e-93
"Tgfb2",5.5837483165746e-97,-0.601644766976669,0.067,0.277,8.23937901593748e-93
"Sorl1",9.07516608300227e-97,0.681550609928027,0.741,0.633,1.33913150720782e-92
"Cadm3",1.82022655104964e-96,-0.618908205672835,0.232,0.508,2.68592629872885e-92
"Ndufa10",2.4497201456454e-96,-0.576028144992765,0.37,0.662,3.61480704691435e-92
"Dmxl1",4.479302738162e-96,0.645820334933623,0.793,0.718,6.60965912043185e-92
"Cdc37l1",7.71873125347992e-96,0.49022281594597,0.914,0.884,1.1389759837635e-91
"Epha7",4.73488974326888e-95,0.687192327686072,0.728,0.615,6.98680330516756e-91
"Lsamp",1.39759835157088e-94,-0.448927333674906,0.823,0.946,2.06229612757799e-90
"Thoc1",7.56264386284887e-94,-0.530441414777689,0.593,0.828,1.11594372840198e-89
"Net1",1.13165655667463e-93,0.808528195630333,0.298,0.098,1.66987241502909e-89
"Bcl9",1.1798463133573e-93,-0.595465523703743,0.289,0.576,1.74098121999003e-89
"Trhde",4.36064526010918e-93,-0.582856401452052,0.5,0.772,6.43456814581711e-89
"Pid1",2.26074883610911e-92,-0.595089053996959,0.237,0.518,3.33596098256261e-88
"B3gat1",8.39321650130293e-91,-0.572297835849336,0.161,0.412,1.23850302693226e-86
"Fkbp1a",5.71216837756174e-90,-0.562128840008363,0.479,0.747,8.4288756579301e-86
"Myo18a",1.16023503056152e-89,-0.580030086577995,0.475,0.731,1.71204281109658e-85
"Kcnb2",1.67182811306973e-89,0.808625985136474,0.38,0.176,2.46694956364569e-85
"Ly6h",2.59540823532932e-89,-0.464565148308173,0.818,0.937,3.82978439205195e-85
"Arhgap20",3.33189838591731e-89,-0.558663334399574,0.073,0.277,4.91654925825958e-85
"Nefm",1.84761917023266e-88,-0.608856955322537,0.076,0.28,2.72634684759532e-84
"Zfhx4",3.06638890194906e-88,0.925446567241866,0.363,0.163,4.52476346371603e-84
"Prpf4b",4.56372155427781e-88,-0.342098205560474,0.974,0.988,6.73422752549234e-84
"Mcf2l",7.72704705011635e-88,-0.580147474579668,0.284,0.562,1.14020306271517e-83
"Lyst",9.22165509957771e-88,0.72682009221353,0.639,0.497,1.36074742649369e-83
"Mctp1",1.00629303673164e-87,0.5610175477158,0.849,0.789,1.4848860050012e-83
"Sorcs2",1.15598490156745e-86,0.741227970481216,0.588,0.411,1.70577132075292e-82
"Igsf9b",1.69008280405983e-86,0.715400708013435,0.549,0.356,2.49388618567069e-82
"Asap2",1.75514075242402e-86,0.78604993281318,0.326,0.128,2.58988569427689e-82
"Flna",8.56892471954795e-86,0.759753988024411,0.639,0.486,1.2644305316165e-81
"Lynx1",2.4826232126452e-85,-0.522581441135503,0.661,0.857,3.66335881257926e-81
"Nfia",2.89901130207648e-85,0.84446007895058,0.552,0.375,4.27778107734406e-81
"Dgkb",8.86944640147362e-85,-0.53954686165192,0.08,0.282,1.30877551100145e-80
"Kcnc1",1.12326081925979e-84,-0.602448674323931,0.352,0.623,1.65748366489975e-80
"Rnps1",2.51416125496001e-84,-0.488493329799575,0.631,0.846,3.70989634781899e-80
"Cdk14",7.87673083908045e-84,-0.458444571796257,0.75,0.903,1.16229040261471e-79
"Tlk1",1.55955169326674e-83,0.790754021303663,0.485,0.302,2.30127447858441e-79
"Crym",1.63631118932386e-83,-0.563012358501542,0.407,0.68,2.41454079096628e-79
"Scn2a",2.67026369933525e-83,0.484081739440209,0.905,0.883,3.9402411147391e-79
"Tmem181a",3.44771149310098e-83,-0.554881305553216,0.299,0.567,5.08744307921981e-79
"Nefl",3.45490664460504e-83,-0.578685206619054,0.21,0.463,5.09806024477919e-79
"Slc25a23",6.89377717586177e-83,-0.558903042519772,0.456,0.715,1.01724576007016e-78
"Limch1",9.20353069762047e-83,0.704824079326185,0.539,0.349,1.35807298974088e-78
"Map2k2",1.18351993032621e-82,-0.521775332228024,0.289,0.567,1.74640200918936e-78
"Hdac4",1.39997258236262e-82,-0.572274129306376,0.317,0.585,2.06579954253429e-78
